Mortgage,Balance,Amount Past Due,Credit Inquiry,Open Trade,Delinquency,Utilization,Gender,Race,Approved
240425.28577222693,752.4699279679667,0.0,0.0,1.0,1.0,0.4974311791456847,0.0,1.0,0
121696.1505547877,288.81125507942147,0.0,0.0,0.0,0.0,0.3758244993254976,0.0,1.0,1
70520.112708893,2908.259450627866,3956.2255571074224,4.0,0.0,3.0,0.9888914306643664,1.0,0.0,0
90541.09268997514,769.4784358629471,0.0,3.0,3.0,1.0,0.6711511947738333,0.0,1.0,0
108369.01144125724,723.1907586940561,0.0,0.0,1.0,0.0,0.049367772802091,0.0,0.0,1
164465.64533276614,605.8401625521124,2021.5997726252729,1.0,1.0,4.0,0.9429116208261056,1.0,1.0,0
121138.59462273408,955.958098185778,0.0,0.0,1.0,0.0,0.0076922801974003,0.0,1.0,1
34983.37786294486,1703.1376903445412,0.0,1.0,0.0,2.0,0.6349559906886824,0.0,0.0,0
93359.92437255576,478.3099793989503,2187.6041903394625,2.0,0.0,2.0,0.9511491570504784,1.0,0.0,0
43249.45224556206,2442.811661302589,0.0,0.0,1.0,0.0,0.0500277209507094,0.0,0.0,0
123251.5429658346,787.8223404887704,0.0,1.0,0.0,0.0,0.6832990155205014,0.0,1.0,0
34027.30222088477,1376.426193175296,0.0,1.0,0.0,1.0,0.3259310807370225,0.0,0.0,0
76928.53236540144,345.67199073163863,0.0,0.0,0.0,0.0,0.3567294954702937,0.0,0.0,1
79476.248257706,509.27996633691583,0.0,0.0,0.0,0.0,0.17883375151856,0.0,0.0,1
114133.11759446468,613.3612749105812,0.0,0.0,0.0,0.0,0.4039005143590602,0.0,1.0,0
123720.9901131564,1276.6011383836037,0.0,0.0,0.0,1.0,0.580755708317723,1.0,0.0,1
108455.65649468232,355.99668257248766,0.0,0.0,1.0,0.0,0.4469160121954032,0.0,1.0,0
76361.34752687906,747.3983567893116,0.0,1.0,1.0,1.0,0.6341578632856314,1.0,0.0,0
60771.30252041984,1679.8147274105322,1497.2303077586378,2.0,2.0,4.0,0.9044620946383276,1.0,0.0,0
135254.44959908267,1456.4740660036966,0.0,1.0,0.0,0.0,0.6556547462657158,1.0,0.0,0
105713.7194662018,1020.234055526358,0.0,0.0,0.0,0.0,0.0585297309649104,1.0,0.0,0
67732.52336428006,804.2032509139219,0.0,0.0,0.0,1.0,0.5796301094285713,1.0,0.0,1
52876.99395420515,3133.309896446334,0.0,0.0,0.0,0.0,0.0004490488236207,1.0,0.0,1
198132.30691295888,945.9344744459208,0.0,0.0,0.0,0.0,0.5772635486380857,1.0,1.0,1
63095.93362189194,897.9365020697476,0.0,0.0,1.0,0.0,0.2295079423179518,1.0,0.0,0
153314.7901885469,1073.7157885644538,0.0,0.0,1.0,1.0,0.5119339054345514,0.0,1.0,0
256832.4395777708,2346.911351257752,0.0,0.0,1.0,1.0,0.2409058985835925,1.0,1.0,1
113575.14738388993,1140.2499289449838,1298.14528538046,2.0,0.0,2.0,0.8827246162465288,0.0,1.0,0
52427.37831160008,784.9489107275087,0.0,0.0,0.0,0.0,0.3301478867907252,1.0,0.0,1
129653.40770829812,1188.0410569556414,3615.141274458149,2.0,1.0,5.0,0.9855473249542694,0.0,1.0,0
181145.5689073305,640.851138857566,1354.5911346054731,1.0,2.0,1.0,0.889407193806435,0.0,1.0,1
106888.2055458478,1297.7600136101455,0.0,0.0,1.0,0.0,0.3573109917554075,1.0,1.0,1
116664.61732138804,834.626407183581,0.0,1.0,1.0,0.0,0.3447324632481536,0.0,1.0,1
306455.06039419497,1301.1100170777238,0.0,0.0,1.0,0.0,0.6235959915693899,1.0,1.0,1
25229.5280871618,1121.586709989361,0.0,1.0,2.0,0.0,0.4036365001987567,0.0,0.0,0
31662.593777323767,1184.16303547048,0.0,0.0,1.0,0.0,0.1017164886473879,0.0,0.0,1
117979.65565951644,1048.3674010493637,0.0,1.0,1.0,0.0,0.3222255973106371,1.0,1.0,1
47357.98810723282,895.759804707022,0.0,1.0,2.0,0.0,0.5038357609739331,1.0,0.0,1
22962.063173149767,1113.1919590724256,0.0,1.0,1.0,2.0,0.6822942495068232,1.0,0.0,0
61203.15743757197,1068.475267045485,0.0,0.0,1.0,0.0,0.5109983430285098,1.0,0.0,1
269377.7220940994,586.0962505996421,0.0,0.0,0.0,1.0,0.3102777267311614,1.0,1.0,0
61348.26990339676,1182.4236167934507,0.0,0.0,1.0,1.0,0.3499524639990541,1.0,0.0,1
207762.21057892655,1015.3008644106008,0.0,0.0,1.0,0.0,0.2775630457916583,1.0,1.0,0
235131.88499967704,1211.968197902694,0.0,0.0,0.0,1.0,0.4571079399670822,1.0,1.0,1
117695.440810066,1420.4820053293638,0.0,1.0,2.0,0.0,0.4856309268496115,1.0,0.0,1
40404.364919434025,1102.0951818050594,0.0,0.0,0.0,2.0,0.4764439831120463,0.0,0.0,1
79484.78774078286,466.2823579530018,1645.9060322950188,1.0,1.0,3.0,0.9177385007153952,0.0,0.0,0
